epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,4406.91,0.90501,0.76268,1.06074,0.93053,0.89476,0.93353,0.78995,1.01992,0.84794,1.10884,0.0086272,0.0086272,0.0086272
106,4451.6,0.91661,0.75528,1.05225,0.92886,0.88696,0.92247,0.7886,1.03056,0.89684,1.12202,0.008614,0.008614,0.008614
107,4492.6,0.92238,0.75154,1.0665,0.91125,0.87506,0.91455,0.76219,1.04908,0.9391,1.11919,0.0086008,0.0086008,0.0086008
108,4535.03,0.91863,0.77203,1.05562,0.93766,0.89661,0.93665,0.79417,1.04182,0.85835,1.11727,0.0085876,0.0085876,0.0085876
109,4575.86,0.90136,0.77105,1.0493,0.93888,0.90158,0.92919,0.78539,1.0588,0.87661,1.13318,0.0085744,0.0085744,0.0085744
110,4617.29,0.92969,0.77067,1.07313,0.92218,0.90468,0.9291,0.77525,1.05398,0.8492,1.12761,0.0085612,0.0085612,0.0085612
111,4659.26,0.90481,0.75673,1.05756,0.92984,0.89322,0.92737,0.77356,1.06077,0.86754,1.15621,0.008548,0.008548,0.008548
112,4700.84,0.89357,0.75448,1.0497,0.94068,0.89141,0.93086,0.78987,1.02056,0.85655,1.12841,0.0085348,0.0085348,0.0085348
113,4743.08,0.86193,0.72011,1.03064,0.94475,0.88145,0.92582,0.78344,1.05856,0.89953,1.14932,0.0085216,0.0085216,0.0085216
114,4786.23,0.90293,0.7332,1.04341,0.92212,0.87221,0.9158,0.76834,1.06228,0.9279,1.15111,0.0085084,0.0085084,0.0085084
115,4829.87,0.90529,0.73142,1.05059,0.9183,0.88359,0.9135,0.77972,1.0548,0.9058,1.13737,0.0084952,0.0084952,0.0084952
116,4879.87,0.87942,0.7325,1.05189,0.88063,0.9127,0.92637,0.784,1.03611,0.86409,1.10413,0.008482,0.008482,0.008482
117,4923.2,0.88307,0.72569,1.04134,0.89642,0.88287,0.91718,0.77643,1.0259,0.92992,1.13049,0.0084688,0.0084688,0.0084688
118,4964.05,0.88611,0.74483,1.05487,0.92062,0.88369,0.92356,0.78074,1.01884,0.91239,1.12224,0.0084556,0.0084556,0.0084556
119,5005.03,0.89787,0.73984,1.04541,0.92042,0.88359,0.92737,0.79213,1.0087,0.87776,1.11433,0.0084424,0.0084424,0.0084424
120,5053.02,0.8739,0.7066,1.03863,0.90622,0.91116,0.92932,0.78568,1.00738,0.84283,1.10735,0.0084292,0.0084292,0.0084292
121,5094.61,0.86415,0.71088,1.04579,0.93974,0.8861,0.92761,0.78047,1.01496,0.81935,1.10864,0.008416,0.008416,0.008416
